"NEST_NUMBER","TERRITORY","VALID_NEST","LAT","LONG","HATCH_DATE","HD_YEAR","neighbor","n.TERRITORY","n.VALID_NEST","n.LAT","n.LONG","n.HATCH_DATE","n.HD_YEAR","n.distance","radius1500"
"LOSH-2019-01","RIVERF","TRUE","33.8313","-79.0466",2019-03-26,"2019","LOSH-2021-03","RIVERF","TRUE","33.831553","-79.046326",2021-05-07,"2021",30.9328380898723,18
"LOSH-2019-02","DISCGO","TRUE","33.7975","-79.0038",2019-04-03,"2019","LOSH-2020-04","DISCGO","TRUE","33.797473","-79.003753",2020-04-08,"2020",5.25745147468912,66
"LOSH-2019-03","SCHOLA","TRUE","33.7963","-79.0057",2019-04-06,"2019","LOSH-2019-41","SCHOLA","TRUE","33.796989","-79.005587",2019-06-18,"2019",19.2708408026474,66
"LOSH-2019-04","COXFER","TRUE","33.8071","-79.0085",2019-04-17,"2019","LOSH-2019-44","COXFER","TRUE","33.8071","-79.0087",2019-07-10,"2019",22.2390202370188,57
"LOSH-2019-05","LOWESP","TRUE","33.7924","-78.9978",2019-04-01,"2019","LOSH-2020-01","LOWESP","TRUE","33.7922268","-78.997713",2020-03-22,"2020",10.3486850916489,64
"LOSH-2019-06","SEACOA","TRUE","33.8075","-79.0132",2019-04-04,"2019","LOSH-2020-24","SEACOA","TRUE","33.807732","-79.012737",2020-04-24,"2020",51.7175655932019,41
"LOSH-2019-07","HGTCCC","TRUE","33.7936","-79.0015",2019-04-12,"2019","LOSH-2021-31","HGTCCC","TRUE","33.793463","-79.001516",2021-05-14,"2021",3.40765016577274,66
"LOSH-2019-08","WPDEDI","TRUE","33.800678","-79.000599",2019-04-17,"2019","LOSH-2020-13","WPDEDI","TRUE","33.800689","-79.000582",2020-04-11,"2020",1.9046682518399,66
"LOSH-2019-09","CMWSSS","TRUE","33.799952","-78.998438",2019-04-24,"2019","LOSH-2020-14","CMWSSS","TRUE","33.800118","-78.998649",2020-04-15,"2020",23.725116719615,65
"LOSH-2019-10","IMSTOP","TRUE","33.7998","-78.9945",2019-04-29,"2019","LOSH-2021-24","IMSTOP","TRUE","33.799928","-78.994304",2021-04-20,"2021",21.9629634397177,58
"LOSH-2019-11","ROOMST","TRUE","33.415943","-78.553058",2019-04-06,"2019","LOSH-2019-15","DILLAR","TRUE","33.415945","-78.553058",2019-04-09,"2019",0.0441356493762325,2
"LOSH-2019-12","OAKFOR","TRUE","33.421264","-78.543716",2019-04-21,"2019","LOSH-2019-15","DILLAR","TRUE","33.415945","-78.553058",2019-04-09,"2019",1045.40058611074,2
"LOSH-2019-13","CEMETE","TRUE","33.7916","-79.0197",2019-04-03,"2019","LOSH-2021-15","CEMETE","TRUE","33.791603","-79.019467",2021-04-05,"2021",25.9085364867223,16
"LOSH-2019-14","COSTCO","TRUE","33.702579","-78.919028",2019-04-01,"2019","LOSH-2021-08","COSTCO","TRUE","33.702573","-78.919019",2021-04-20,"2021",1.00893741832434,18
"LOSH-2019-15","DILLAR","TRUE","33.415945","-78.553058",2019-04-09,"2019","LOSH-2019-11","ROOMST","TRUE","33.415943","-78.553058",2019-04-06,"2019",0.0441356493762325,2
"LOSH-2019-16","RIVERF","TRUE","33.8316","-79.0463",2019-04-24,"2019","LOSH-2021-03","RIVERF","TRUE","33.831553","-79.046326",2021-05-07,"2021",3.05687019839228,18
"LOSH-2019-17","CYPRES","TRUE","33.8319","-79.046",2019-04-17,"2019","LOSH-2020-28","RIVERF","TRUE","33.832889","-79.04602",2020-05-14,"2020",21.0149469520537,18
"LOSH-2019-18","BUSBEE","TRUE","33.8288","-79.0571",2019-04-28,"2019","LOSH-2020-12","BUSBEE","TRUE","33.8286","-79.0577",2020-04-05,"2020",66.8504863767131,18
"LOSH-2019-19","TEKNOW","TRUE","33.7982","-78.9908",2019-04-26,"2019","LOSH-2019-29","TEKNOW","TRUE","33.7968","-78.9913",2019-06-11,"2019",63.0462062816622,52
"LOSH-2019-21","MATTRE","TRUE","33.759131","-78.969619",2019-05-21,"2019","LOSH-2020-45","BUFFAL","TRUE","33.757902","-78.965388",2020-06-01,"2020",471.192762226194,25
"LOSH-2019-22","MARINA","TRUE","33.748762","-78.842995",2019-04-08,"2019","LOSH-2020-07","OAKFOR","TRUE","33.703563","-78.90968",2020-04-06,"2020",7478.17353489423,0
"LOSH-2019-23","COXFER","TRUE","33.8072","-79.0088",2019-05-29,"2019","LOSH-2020-23","COXFER","TRUE","33.807162","-79.008705",2020-04-04,"2020",10.59420956702,56
"LOSH-2019-24","SEACOA","TRUE","33.8077","-79.0126",2019-05-31,"2019","LOSH-2019-43","SEACOA","TRUE","33.8074","-79.0126",2019-07-07,"2019",6.35790636754481,42
"LOSH-2019-25","WPDEDI","TRUE","33.8005","-79.0009",2019-05-20,"2019","LOSH-2019-08","WPDEDI","TRUE","33.800678","-79.000599",2019-04-17,"2019",33.6820952538944,66
"LOSH-2019-26","CYPRES","TRUE","33.8337","-79.0463",2019-05-21,"2019","LOSH-2021-52","CYPRES","TRUE","33.833832","-79.046358",2021-05-23,"2021",7.0265336275624,18
"LOSH-2019-27","DISCGO","TRUE","33.79785","-79.003976",2019-05-21,"2019","LOSH-2020-49","DISCGO","TRUE","33.797672","-79.0039",2020-06-01,"2020",9.25577344963578,66
"LOSH-2019-29","TEKNOW","TRUE","33.7968","-78.9913",2019-06-11,"2019","LOSH-2019-19","TEKNOW","TRUE","33.7982","-78.9908",2019-04-26,"2019",63.0462062816622,52
"LOSH-2019-30","SCHOLA","TRUE","33.797108","-79.005799",2019-06-04,"2019","LOSH-2020-41","SCHOLA","TRUE","33.796864","-79.005966",2020-05-27,"2020",19.2769790800392,66
"LOSH-2019-31","HGTCCC","TRUE","33.7935","-79.0016",2019-06-10,"2019","LOSH-2020-08","HGTCCC","TRUE","33.793694","-79.001613",2020-04-17,"2020",4.3619939689383,66
"LOSH-2019-32","COOKOU","TRUE","33.7876","-78.9949",2019-06-10,"2019","LOSH-2020-15","COOKOU","TRUE","33.787464","-78.994733",2020-04-11,"2020",18.7926401436041,58
"LOSH-2019-33","LOWESP","TRUE","33.7925","-78.9979",2019-06-04,"2019","LOSH-2021-37","LOWESP","TRUE","33.792568","-78.99798",2021-05-10,"2021",9.01189010994249,65
"LOSH-2019-34","COSTCO","TRUE","33.70257","-78.919004",2019-05-26,"2019","LOSH-2021-08","COSTCO","TRUE","33.702573","-78.919019",2021-04-20,"2021",1.66915830765749,18
"LOSH-2019-35","METGLA","TRUE","33.79346","-78.99601",2019-06-11,"2019","LOSH-2020-50","METGLA","TRUE","33.79346","-78.99601",2020-06-10,"2020",0,63
"LOSH-2019-36","RIVERF","TRUE","33.831432","-79.046285",2019-06-19,"2019","LOSH-2019-16","RIVERF","TRUE","33.8316","-79.0463",2019-04-24,"2019",3.92198235270652,18
"LOSH-2019-37","ROOMST","TRUE","33.704105","-78.925926",2019-06-09,"2019","LOSH-2021-19","DILLAR","TRUE","33.699853","-78.925169",2021-03-30,"2021",123.827511618598,17
"LOSH-2019-38","IMSTOP","TRUE","33.8001","-78.9943",2019-06-19,"2019","LOSH-2020-46","IMSTOP","TRUE","33.800128","-78.994298",2020-06-17,"2020",0.634622686164312,58
"LOSH-2019-39","CMWSSS","TRUE","33.7994","-78.9978",2019-06-28,"2019","LOSH-2021-32","CMWSSS","TRUE","33.799452","-78.997795",2021-05-03,"2021",1.23564912953522,65
"LOSH-2019-40","WPDEDI","TRUE","33.8008","-79.0005",2019-06-25,"2019","LOSH-2020-40","WPDEDI","TRUE","33.800418","-79.000472",2020-05-25,"2020",8.6820149045929,66
"LOSH-2019-41","SCHOLA","TRUE","33.796989","-79.005587",2019-06-18,"2019","LOSH-2019-03","SCHOLA","TRUE","33.7963","-79.0057",2019-04-06,"2019",19.2708408026474,65
"LOSH-2019-42","ABUELO","TRUE","33.7044","-78.9243",2019-06-24,"2019","LOSH-2021-26","ABUELO","TRUE","33.704873","-78.92433",2021-04-23,"2021",10.6402806890572,17
"LOSH-2019-43","SEACOA","TRUE","33.8074","-79.0126",2019-07-07,"2019","LOSH-2019-24","SEACOA","TRUE","33.8077","-79.0126",2019-05-31,"2019",6.35790636754481,42
"LOSH-2019-44","COXFER","TRUE","33.8071","-79.0087",2019-07-10,"2019","LOSH-2020-33","COXFER","TRUE","33.807117","-79.008701",2020-05-25,"2020",0.377171085817269,56
"LOSH-2020-01","LOWESP","TRUE","33.7922268","-78.997713",2020-03-22,"2020","LOSH-2019-05","LOWESP","TRUE","33.7924","-78.9978",2019-04-01,"2019",10.3486850916489,64
"LOSH-2020-02","TANGER","TRUE","33.751229","-78.960369",2020-03-26,"2020","LOSH-2021-38","CHICKF","TRUE","33.748895","-78.960364",2021-04-01,"2021",49.6998627862302,25
"LOSH-2020-03","501WAL","TRUE","33.77855","-78.987055",2020-04-10,"2020","LOSH-2021-46","501WAL","TRUE","33.778572","-78.987054",2021-05-23,"2021",0.480364065673951,32
"LOSH-2020-04","DISCGO","TRUE","33.797473","-79.003753",2020-04-08,"2020","LOSH-2019-02","DISCGO","TRUE","33.7975","-79.0038",2019-04-03,"2019",5.25745147468912,66
"LOSH-2020-07","OAKFOR","TRUE","33.703563","-78.90968",2020-04-06,"2020","LOSH-2021-54","MALWAL","TRUE","33.702404","-78.91368",2021-05-26,"2021",445.470459130668,12
"LOSH-2020-08","HGTCCC","TRUE","33.793694","-79.001613",2020-04-17,"2020","LOSH-2021-06","HGTCCC","TRUE","33.793715","-79.001604",2021-04-05,"2021",1.0954344223293,66
"LOSH-2020-09","SCHOLA","TRUE","33.794193","-79.006844",2020-04-02,"2020","LOSH-2020-41","SCHOLA","TRUE","33.796864","-79.005966",2020-05-27,"2020",112.868740087127,68
"LOSH-2020-10","CYPRES","TRUE","33.834228","-79.04458",2020-04-08,"2020","LOSH-2020-39","CYPRES","TRUE","33.833393","-79.044536",2020-05-27,"2020",18.3110649406986,18
"LOSH-2020-11","COURTH","TRUE","33.830075","-79.048745",2020-04-11,"2020","LOSH-2020-29","COURTH","TRUE","33.83013","-79.048448",2020-05-14,"2020",33.0453760355201,18
"LOSH-2020-12","BUSBEE","TRUE","33.8286","-79.0577",2020-04-05,"2020","LOSH-2021-11","BUSBEE","TRUE","33.828585","-79.057974",2021-04-04,"2021",30.4691026651366,18
"LOSH-2020-13","WPDEDI","TRUE","33.800689","-79.000582",2020-04-11,"2020","LOSH-2019-08","WPDEDI","TRUE","33.800678","-79.000599",2019-04-17,"2019",1.9046682518399,66
"LOSH-2020-14","CMWSSS","TRUE","33.800118","-78.998649",2020-04-15,"2020","LOSH-2021-05","CMWSSS","TRUE","33.800195","-78.998732",2021-04-14,"2021",9.37270771947938,65
"LOSH-2020-15","COOKOU","TRUE","33.787464","-78.994733",2020-04-11,"2020","LOSH-2019-32","COOKOU","TRUE","33.7876","-78.9949",2019-06-10,"2019",18.7926401436041,58
"LOSH-2020-16","IMSTOP","TRUE","33.799995","-78.994191",2020-04-12,"2020","LOSH-2021-49","IMSTOP","TRUE","33.800119","-78.994285",2021-06-18,"2021",10.77869466615,58
"LOSH-2020-18","RIVERF","TRUE","33.831339","-79.04623",2020-04-18,"2020","LOSH-2019-36","RIVERF","TRUE","33.831432","-79.046285",2019-06-19,"2019",6.42365435153029,18
"LOSH-2020-19","PUBLIX","TRUE","33.758611","-78.958089",2020-04-04,"2020","LOSH-2020-44","PUBLIX","TRUE","33.7592","-78.9584",2020-06-05,"2020",36.7863589007154,25
"LOSH-2020-20","KFCCCC","TRUE","33.754566","-78.962477",2020-04-01,"2020","LOSH-2021-16","KFCCCC","TRUE","33.75455","-78.962479",2021-04-03,"2021",0.406788264252956,25
"LOSH-2020-21","SPEEDW","TRUE","33.747322","-78.957139",2020-04-04,"2020","LOSH-2020-48","SPEEDW","TRUE","33.747209","-78.957029",2020-06-03,"2020",12.4659995136665,25
"LOSH-2020-22","BUFFAL","TRUE","33.757883","-78.965377",2020-04-08,"2020","LOSH-2020-45","BUFFAL","TRUE","33.757902","-78.965388",2020-06-01,"2020",1.28825723958074,25
"LOSH-2020-23","COXFER","TRUE","33.807162","-79.008705",2020-04-04,"2020","LOSH-2020-33","COXFER","TRUE","33.807117","-79.008701",2020-05-25,"2020",1.05260812383263,56
"LOSH-2020-24","SEACOA","TRUE","33.807732","-79.012737",2020-04-24,"2020","LOSH-2019-24","SEACOA","TRUE","33.8077","-79.0126",2019-05-31,"2019",15.248816771998,42
"LOSH-2020-25","CEMETE","TRUE","33.790946","-79.019131",2020-04-06,"2020","LOSH-2021-15","CEMETE","TRUE","33.791603","-79.019467",2021-04-05,"2021",39.868846291993,19
"LOSH-2020-26","POSTAL","TRUE","33.75856","-78.959929",2020-04-14,"2020","LOSH-2020-34","POSTAL","TRUE","33.758104","-78.959155",2020-05-30,"2020",86.6110376497383,25
"LOSH-2020-27","BILLBO","TRUE","33.80574","-79.010625",2020-04-06,"2020","LOSH-2020-61","COXFER","TRUE","33.805077","-79.010814",2020-07-14,"2020",25.2816843740117,51
"LOSH-2020-28","RIVERF","TRUE","33.832889","-79.04602",2020-05-14,"2020","LOSH-2019-17","CYPRES","TRUE","33.8319","-79.046",2019-04-17,"2019",21.0149469520537,18
"LOSH-2020-29","COURTH","TRUE","33.83013","-79.048448",2020-05-14,"2020","LOSH-2020-11","COURTH","TRUE","33.830075","-79.048745",2020-04-11,"2020",33.0453760355201,18
"LOSH-2020-30","DOMINO","TRUE","33.77635","-78.983268",2020-05-10,"2020","LOSH-2021-13","501WAL","TRUE","33.778523","-78.98701",2021-03-29,"2021",418.645338777369,19
"LOSH-2020-31","TEKNOW","TRUE","33.796502","-78.995352",2020-04-26,"2020","LOSH-2021-25","TEKNOW","TRUE","33.796224","-78.995053",2021-04-11,"2021",33.7669307731944,59
"LOSH-2020-33","COXFER","TRUE","33.807117","-79.008701",2020-05-25,"2020","LOSH-2019-44","COXFER","TRUE","33.8071","-79.0087",2019-07-10,"2019",0.377171085817269,56
